,URL,Restraunt Name,Restro Rating,Avg Price,Cuisines,Avg Delivery Time
0,https://www.zomato.com/bangalore/nandhini-deluxe-st-marks-road-bangalore/order,Nandini Deluxe,4.0,₹250 for one,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",19 min
1,https://www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Empire Restaurant,4.1,₹250 for one,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",26 min
2,https://www.zomato.com/bangalore/nh8-indiranagar/order,NH8,3.9,₹250 for one,"Chinese, North Indian, Beverages",43 min
3,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,Truffles,4.3,₹250 for one,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",30 min
4,https://www.zomato.com/bangalore/mcdonalds-mg-road/order,McDonald's,3.9,₹250 for one,"Burger, Fast Food",18 min
5,https://www.zomato.com/bangalore/california-burrito-cunningham-road/order,California Burrito,4.1,₹250 for one,"Mexican, Fast Food, Beverages",24 min
6,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,Leon's Burgers & Wings,4.2,₹250 for one,"Burger, Fast Food, Wraps, Street Food, Beverages",35 min
7,https://www.zomato.com/bangalore/mr-chow-ulsoor-bangalore/order,Mr. Chow,3.8,₹250 for one,Momos,41 min
8,https://www.zomato.com/bangalore/kabab-korner-st-marks-road/order,Kabab Korner,4.1,₹250 for one,"North Indian, Chinese, Mughlai, Sichuan",19 min
18,https://www.zomato.com/bangalore/dominos-pizza-shanti-nagar/order,Domino's Pizza,3.9,₹200 for one,"Pizza, Italian, Pasta, Fast Food, Desserts",25 min
19,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,Meghana Foods,4.3,₹200 for one,"Biryani, Andhra, North Indian, Seafood",24 min
20,https://www.zomato.com/bangalore/pizza-hut-shanti-nagar/order,Pizza Hut,3.8,₹200 for one,"Pizza, Fast Food, Desserts, Beverages",28 min
21,https://www.zomato.com/bangalore/kfc-brigade-road-bangalore/order,KFC,3.7,₹200 for one,"Burger, Fast Food, Biryani, Desserts, Beverages",31 min
22,https://www.zomato.com/bangalore/burger-king-commercial-street/order,Burger King,4.0,₹200 for one,"Burger, Fast Food, Desserts, Beverages",28 min
23,https://www.zomato.com/bangalore/nandhana-palace-indiranagar/order,Nandhana Palace,4.1,₹200 for one,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",40 min
24,https://www.zomato.com/bangalore/al-bek-malleshwaram/order,Al-Bek,4.1,₹200 for one,"Mughlai, Arabian, North Indian, Chinese, Seafood",33 min
25,https://www.zomato.com/bangalore/imperio-restaurant-1-koramangala-7th-block-bangalore/order,Imperio Restaurant,3.5,₹200 for one,"North Indian, Biryani, Arabian, Chinese, Kebab, Beverages, Juices, Sichuan",42 min
26,https://www.zomato.com/bangalore/thalassery-restaurant-kammanahalli/order,Thalassery Restaurant,4.1,₹200 for one,"Kerala, North Indian, Chinese, Lebanese, Biryani, Ice Cream, Beverages",42 min
27,https://www.zomato.com/bangalore/five-star-chicken-shivajinagar-bangalore/order,Five Star Chicken,3.9,₹200 for one,"Fast Food, Rolls, Burger",36 min
28,https://www.zomato.com/bangalore/imperial-restaurant-residency-road/order,Imperial Restaurant,3.9,₹200 for one,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",23 min
29,https://www.zomato.com/bangalore/polar-bear-1-basavanagudi/order,Polar Bear,4.4,₹200 for one,"Ice Cream, Beverages, Shake",28 min
51,https://www.zomato.com/bangalore/kabab-magic-richmond-town-bangalore/order,Kabab Magic,3.6,₹100 for one,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls",28 min
