Dish,Main Course/Starter/Snacks,Veg/Chicken/Other Non Veg,Gravy/Dry
CHICKEN BIRYANI,Main Course,Chicken,Dry
CHICKEN CHETTINAD,Main Course,Chicken,Gravy
CHICKEN KORMA,Main Course,Chicken,Gravy
CHICKEN TIKKA MASALA,Main Course,Chicken,Gravy
KOLHAPURI CHICKEN,Main Course,Chicken,Gravy
CHICKEN XACUTI,Main Course,Chicken,Gravy
LEMON CHICKEN,Main Course,Chicken,Gravy
BUTTER CHICKEN,Main Course,Chicken,Gravy
CHICKEN DO PYAZA,Main Course,Chicken,Gravy
GUNTUR CHICKEN,Main Course,Chicken,Gravy
CHICKEN VINDALOO,Main Course,Chicken,Gravy
CHICKEN REZALA,Main Course,Chicken,Gravy
KADAI CHICKEN,Main Course,Chicken,Gravy
CHICKEN PULAO,Main Course,Chicken,Dry
MUGHLAI CHICKEN,Main Course,Chicken,Gravy
CHICKEN CURRY,Main Course,Chicken,Gravy
CHICKEN KOLHAPURI,Main Course,Chicken,Gravy
TAWA CHICKEN,Main Course,Chicken,Dry
MALABAR CHICKEN,Main Course,Chicken,Gravy
CHICKEN SAAGWALA,Main Course,Chicken,Gravy
CHICKEN BHARTA,Main Course,Chicken,Dry
CHICKEN KOFTA CURRY,Main Course,Chicken,Gravy
CHICKEN FRIED RICE,Main Course,Chicken,Dry
CHICKEN MASALA,Main Course,Chicken,Gravy
CHICKEN TIKKA,Starter,Chicken,Dry
CHICKEN ROLL,Starter,Chicken,Dry
SCHEZWAN CHICKEN,Starter,Chicken,Dry
CHICKEN POPCORN,Starter,Chicken,Dry
CHICKEN 65,Starter,Chicken,Dry
DRAGON CHICKEN,Starter,Chicken,Dry
CHICKEN PEPPER,Starter,Chicken,Dry
TANDOORI CHICKEN,Starter,Chicken,Dry
CHICKEN KEEMA,Starter,Chicken,Dry
CHICKEN KEBAB,Starter,Chicken,Dry
CHICKEN KABAB,Starter,Chicken,Dry
CHICKEN CIGAR,Starter,Chicken,Dry
CHICKEN WINGS,Starter,Chicken,Dry
CHILLI CHICKEN,Starter,Chicken,Dry
CRISPY CHICKEN,Starter,Chicken,Dry
GRILLED CHICKEN,Starter,Chicken,Dry
CHICKEN SKEWER,Starter,Chicken,Dry
CHICKEN TOSTADA,Starter,Chicken,Dry
CHICKEN BALLS,Starter,Chicken,Dry
CHICKEN CUTLET,Starter,Chicken,Dry
ANGARA CHICKEN,Starter,Chicken,Dry
GINGER CHICKEN,Starter,Chicken,Dry
CHICKEN STEW,Starter,Chicken,Dry
CHICKEN FRY,Starter,Chicken,Dry
CHICKEN PASTA,Starter,Chicken,Gravy
GARLIC CHICKEN,Starter,Chicken,Dry
CHICKEN ROAST,Starter,Chicken,Dry
CHICKEN LOLLIPOP,Starter,Chicken,Dry
CHICKEN LOLLYPOP,Starter,Chicken,Dry
CHICKEN SOUP,Starter,Chicken,Gravy
CHICKEN CHAAP,Starter,Chicken,Dry
CHICKEN NOODLES,Starter,Chicken,Dry
CHICKEN NOODLES,Snacks,Chicken,Dry
CHICKEN ROLL,Snacks,Chicken,Dry
CHICKEN POPCORN,Snacks,Chicken,Dry
CHICKEN PEPPER,Snacks,Chicken,Dry
SCHEZWAN CHICKEN,Snacks,Chicken,Dry
GARLIC CHICKEN,Snacks,Chicken,Dry
DRAGON CHICKEN,Snacks,Chicken,Dry
CHICKEN ROAST,Snacks,Chicken,Dry
CHICKEN FAJITA,Snacks,Chicken,Dry
CHICKEN PARATHA,Snacks,Chicken,Dry
GINGER CHICKEN,Snacks,Chicken,Dry
CHICKEN BURGER,Snacks,Chicken,Dry
CHICKEN SANDWICH,Snacks,Chicken,Dry
CHICKEN SWARAMA,Snacks,Chicken,Dry
CHICKEN MANCHURIAN,Snacks,Chicken,Gravy
CHICKEN PATTY,Snacks,Chicken,Dry
CHICKEN GARLIC BREAD,Snacks,Chicken,Dry
CHICKEN TIKKA,Snacks,Chicken,Dry
CHICKEN 65,Snacks,Chicken,Dry
