Restraunt Name,Location,Opening Hours,Dish Name,Tags,Price,Dish Ratings,Votes,Type
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Mutton Biryani,"MUST TRY,BESTSELLE",₹ 359.00,3,53 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Paneer Butter Masala,MUST TR,₹ 279.00,4,20 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Veg Full Carrier Meals,"MUST TRY,CHEF'S SPECIA",₹ 499.00,5,116 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Mini Veg Meal Box,"MUST TRY,BESTSELLE",₹ 259.00,4,99 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Chicken Biryani,"MUST TRY,BESTSELLE",₹ 299.00,5,175 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Paneer Biryani,"MUST TRY,BESTSELLE",₹ 279.00,4,40 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Veg Biryani,"MUST TRY,BESTSELLE",₹ 259.00,4,46 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Chicken Biryani with Chicken Fry Box,BESTSELLE,₹ 299.00,Not Rated,,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Chicken Sholay Kebab,"MUST TRY,BESTSELLE",₹ 319.00,5,52 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Premier Chicken Biryani Boneless,"MUST TRY,BESTSELLE",₹ 299.00,4,45 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Egg Biryani,,₹ 269.00,4,16 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Chicken Biryani Family Pack,"MUST TRY,BESTSELLE",₹ 899.00,4,14 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Curd Rice,,₹ 109.00,5,35 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Veg pulao,BESTSELLE,₹ 249.00,5,18 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Veg Biryani Family Pack,,₹ 699.00,Not Rated,,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Chilli Chicken,,₹ 299.00,4,18 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Mutton Biryani Family Pack,,₹ 999.00,Not Rated,,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Mushroom Biryani,,₹ 279.00,4,10 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Mini Chicken Meal Box,,₹ 299.00,5,15 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Egg Chilly,,₹ 179.00,4,10 votes,non-veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Paneer Chilly,,₹ 279.00,4,10 votes,veg
Nandini Deluxe,"St. Marks Road, Bangalore",11am – 11:30pm (Today),Andhra Chicken Curry,,₹ 299.00,Not Rated,,non-veg
